# DealMapper — Master Catalogue Index
# ──────────────────────────────────────────────────────────────────────────────
# Presentation order: Revenue → Operational → People/Legal → Finance → Controls/IT → ESG → Separation
# Format: ITEM-ID | CODE | WORKSTREAM | SECTION | PHASE | PRI | FLAGS | NODE
# Flags:  * = Must-Have   T = TSA-Shadow (active when tsaRequired=yes)   X = Cross-Border
# Generated: 2026-04-23 | Total: 632 items | Must-Haves: 60
# ──────────────────────────────────────────────────────────────────────────────
# Canonical workstream codes:
#   GTM=Go-To-Market  PRD=Product & R&D
#   SCO=Supply Chain & Ops  CAP=Capital Projects  FAC=Facilities  IMO=Integration Mgmt
#   HR=Human Resources  LGL=Legal  COM=Communications
#   TRS=Treasury  OFN=Operational Finance  FPA=FP&A
#   FRC=Financial Reporting & Consolidation  TCA=Technical Accounting
#   TAX=Income Tax  TSA=TSA
#   CTL=Controls  GRC=Governance & Compliance
#   ITG=IT Strategy & Governance  ITE=IT > Enterprise Systems
#   ITI=IT > Infrastructure  ITD=IT > Data & Analytics
#   ITV=IT > IT Vendor Management  ITC=IT > Client-Facing & Digital
#   ESG=ESG  SEP=Carve-Out / Separation
# ──────────────────────────────────────────────────────────────────────────────


# ═══════════════════════════════════════════════════════════════════════════════
# REVENUE TRACK — GTM · PRD
# Focus: customer base, pipeline, brand, pricing, product roadmap, IP, clinical
# ═══════════════════════════════════════════════════════════════════════════════

# ── [GTM] Go-To-Market — 28 items (GTM-0600–GTM-0626 + GTM-0718 TSA-shadow) ──

# Sales Integration
GTM-0600 | GTM | Go-To-Market | Sales Integration          | day_1  | critical | *   |
FIN-0016 | TSA | TSA | HR TSA                        | day_1  | high     |     |
FIN-0017 | TSA | TSA | HR TSA                        | day_1  | high     |     |
FIN-0018 | TSA | TSA | HR TSA                        | day_30 | critical |     |
FIN-0019 | TSA | TSA | HR TSA                        | day_30 | high     |   X |
FIN-0020 | TSA | TSA | HR TSA                        | day_60 | critical |     |
FIN-0021 | TSA | TSA | HR TSA                        | day_90 | critical |     |
FIN-0022 | TSA | TSA | Legal TSA                     | day_1  | high     |     |
FIN-0023 | TSA | TSA | Legal TSA                     | day_1  | high     |   X |
FIN-0024 | TSA | TSA | Legal TSA                     | day_1  | high     |     |
FIN-0025 | TSA | TSA | Legal TSA                     | day_30 | medium   |     |
FIN-0026 | TSA | TSA | Legal TSA                     | day_60 | high     |     |
FIN-0027 | TSA | TSA | Legal TSA                     | day_30 | critical |   X |
FIN-0028 | TSA | TSA | Procurement TSA               | day_1  | high     |     |
FIN-0029 | TSA | TSA | Procurement TSA               | day_1  | high     |     |
FIN-0030 | TSA | TSA | Procurement TSA               | day_1  | medium   |     |
FIN-0031 | TSA | TSA | Procurement TSA               | day_30 | high     |     |
FIN-0032 | TSA | TSA | Procurement TSA               | day_30 | high     |   X |
FIN-0033 | TSA | TSA | Procurement TSA               | day_60 | high     |     |
FIN-0034 | TSA | TSA | TSA Performance Monitoring    | day_1  | high     |     |
FIN-0035 | TSA | TSA | TSA Performance Monitoring    | day_30 | high     |     |
FIN-0036 | TSA | TSA | TSA Performance Monitoring    | day_30 | medium   |     |
FIN-0037 | TSA | TSA | TSA Performance Monitoring    | day_90 | medium   |     |
FIN-0038 | TSA | TSA | TSA Performance Monitoring    | day_60 | high     |     |
FIN-0039 | TSA | TSA | TSA Performance Monitoring    | day_90 | medium   |     |
FIN-0040 | TSA | TSA | TSA Dispute Resolution        | day_1  | high     |     |
FIN-0041 | TSA | TSA | TSA Dispute Resolution        | day_30 | medium   |     |
FIN-0042 | TSA | TSA | TSA Dispute Resolution        | day_30 | medium   |     |
FIN-0043 | TSA | TSA | TSA Dispute Resolution        | day_30 | high     |   X |
FIN-0044 | TSA | TSA | TSA Dispute Resolution        | day_60 | medium   |     |
FIN-0045 | TSA | TSA | TSA Transition Readiness      | day_30 | critical | *   |
FIN-0046 | TSA | TSA | TSA Transition Readiness      | day_30 | critical | *   |
FIN-0047 | TSA | TSA | TSA Transition Readiness      | day_60 | high     |     |
FIN-0048 | TSA | TSA | TSA Transition Readiness      | day_60 | critical | *   |
FIN-0049 | TSA | TSA | TSA Transition Readiness      | day_60 | high     |     |
FIN-0050 | TSA | TSA | TSA Transition Readiness      | day_90 | critical | *   |
FIN-0051 | TSA | TSA | TSA Transition Readiness      | year_1 | medium   |     |
FIN-0052 | TSA | TSA | TSA Cost Allocation           | day_1  | high     |     |
FIN-0053 | TSA | TSA | TSA Cost Allocation           | day_30 | high     |     |
FIN-0054 | TSA | TSA | TSA Cost Allocation           | day_30 | high     |     |
FIN-0055 | TSA | TSA | TSA Cost Allocation           | day_30 | high     |   X |
FIN-0056 | TSA | TSA | TSA Cost Allocation           | day_30 | medium   |     |
FIN-0057 | TSA | TSA | TSA Cost Allocation           | day_30 | medium   |     |
FIN-0058 | TSA | TSA | TSA Cost Allocation           | day_60 | high     |     |
FIN-0059 | TSA | TSA | TSA Renewal/Extension         | day_30 | high     |     |
FIN-0060 | TSA | TSA | TSA Renewal/Extension         | day_30 | high     |     |
FIN-0061 | TSA | TSA | TSA Renewal/Extension         | day_60 | high     |     |
FIN-0062 | TSA | TSA | TSA Renewal/Extension         | day_90 | critical |     |
FIN-0063 | TSA | TSA | TSA Renewal/Extension         | day_90 | high     |     |
FIN-0064 | TSA | TSA | TSA Renewal/Extension         | year_1 | low      |     |
FIN-0065 | TSA | TSA | TSA Stranded Cost             | day_60 | high     |     |
FIN-0066 | TSA | TSA | TSA Stranded Cost             | day_90 | high     |     |
FIN-0067 | TSA | TSA | Cross-Border TSA              | day_30 | high     |   X |
FIN-0068 | TSA | TSA | Cross-Border TSA              | day_30 | high     |   X |
FIN-0069 | TSA | TSA | Cross-Border TSA              | day_90 | critical |   X |
FIN-0070 | TSA | TSA | TSA Governance                | year_1 | medium   |     |


# ═══════════════════════════════════════════════════════════════════════════════
# CONTROLS & GOVERNANCE TRACK — CTL · GRC
# Focus: SOX, ITGC, internal audit, data sovereignty, privacy, breach protocol
# ═══════════════════════════════════════════════════════════════════════════════

# ── [CTL] Controls — 69 items (CGV-0191 series) ──────────────────────────────

CGV-0192 | CTL | Controls | SOX Scoping                    | day_30 | critical | * |
CGV-0195 | CTL | Controls | ITGC Gap Assessment            | day_60 | high     | * |
# (CGV-0191 through ~CGV-0345: full controls workstream — SOX, ITGC, internal audit)


# ── [GRC] Governance & Compliance — 14 items (CGV-0346 + CGV-0703–CGV-0705) ──

CGV-0346 | GRC | Governance & Compliance | Privileged Access Remediation  | day_60 | critical | *   |
# Data Sovereignty & Privacy (new)
CGV-0703 | GRC | Governance & Compliance | Data Sovereignty & Localization | day_30 | critical | * X |
CGV-0704 | GRC | Governance & Compliance | Data Sovereignty & Localization | day_1  | critical |   X |
CGV-0705 | GRC | Governance & Compliance | Data Sovereignty & Localization | day_30 | high     |   X |
# (remaining GRC items: CGV-0347–CGV-0390 — governance framework, compliance calendar)


# ═══════════════════════════════════════════════════════════════════════════════
# IT TRACK — ITG · ITE · ITI · ITD · ITV · ITC
# Focus: IT strategy, ERP/CRM migration, cloud, data governance, vendors, digital
# ═══════════════════════════════════════════════════════════════════════════════

# ── [ITG] IT Strategy & Governance — 23 items (IT-0444–IT-0452, IT-0469–IT-0478, IT-0486–IT-0489) ──

IT-0444 | ITG | IT Strategy & Governance | IT Strategic Alignment        | day_1  | critical |   |
IT-0445 | ITG | IT Strategy & Governance | IT Strategic Alignment        | day_1  | high     |   |
IT-0446 | ITG | IT Strategy & Governance | IT Governance Framework       | day_30 | high     |   |
IT-0447 | ITG | IT Strategy & Governance | IT Policy & Standards         | day_30 | medium   |   |
IT-0448 | ITG | IT Strategy & Governance | IT Governance Framework       | day_30 | high     |   |
IT-0449 | ITG | IT Strategy & Governance | IT Org Structure & Leadership | day_1  | high     |   |
IT-0450 | ITG | IT Strategy & Governance | IT Org Structure & Leadership | day_1  | critical |   |
IT-0451 | ITG | IT Strategy & Governance | IT Talent & Retention         | day_30 | high     |   |
IT-0452 | ITG | IT Strategy & Governance | IT Staffing Model             | day_30 | medium   |   |
IT-0469 | ITG | IT Strategy & Governance | Security Governance           | day_1  | critical |   |
IT-0470 | ITG | IT Strategy & Governance | Security Governance           | day_30 | high     |   |
IT-0471 | ITG | IT Strategy & Governance | Security Operations           | day_60 | high     |   |
IT-0472 | ITG | IT Strategy & Governance | Security Operations           | day_30 | critical |   |
IT-0473 | ITG | IT Strategy & Governance | Data Protection & Privacy     | day_30 | high     | X |
IT-0474 | ITG | IT Strategy & Governance | Access Controls               | day_30 | critical |   |
IT-0475 | ITG | IT Strategy & Governance | Access Controls               | day_30 | high     |   |
IT-0476 | ITG | IT Strategy & Governance | Change Management             | day_60 | high     |   |
IT-0477 | ITG | IT Strategy & Governance | IT Operations Controls        | day_60 | medium   |   |
IT-0478 | ITG | IT Strategy & Governance | SDLC / Program Dev            | day_60 | medium   |   |
IT-0486 | ITG | IT Strategy & Governance | IT Spend & Budget Analysis    | day_30 | high     |   |
IT-0487 | ITG | IT Strategy & Governance | License & Subscription Mgmt   | day_60 | high     |   |
IT-0488 | ITG | IT Strategy & Governance | Synergy Identification        | day_60 | critical |   |
IT-0489 | ITG | IT Strategy & Governance | Integration Cost Estimation   | day_60 | high     |   |


# ── [ITE] IT > Enterprise Systems — 8 items (IT-0453–IT-0459 + IT-0710 TSA-shadow) ──

IT-0453 | ITE | IT > Enterprise Systems | Core Business Applications  | day_1  | critical |     |
IT-0454 | ITE | IT > Enterprise Systems | Core Business Applications  | day_30 | critical |     |
IT-0455 | ITE | IT > Enterprise Systems | Core Business Applications  | day_30 | high     |     |
IT-0456 | ITE | IT > Enterprise Systems | Industry-Specific Platforms | day_30 | high     |     |
IT-0457 | ITE | IT > Enterprise Systems | Collaboration & Productivity | day_1  | critical | *   |
IT-0458 | ITE | IT > Enterprise Systems | Collaboration & Productivity | day_60 | medium   |     |
IT-0459 | ITE | IT > Enterprise Systems | Workflow & Automation       | day_60 | medium   |     |
IT-0710 | ITE | IT > Enterprise Systems | TSA Data Segregation        | day_1  | critical | * T |


# ── [ITI] IT > Infrastructure — 5 items (IT-0460–IT-0464) ───────────────────

IT-0460 | ITI | IT > Infrastructure | Cloud Services & Strategy    | day_1  | critical | * |
IT-0461 | ITI | IT > Infrastructure | Cloud Services & Strategy    | day_30 | high     |   |
IT-0462 | ITI | IT > Infrastructure | On-Premises Infrastructure   | day_30 | high     |   |
IT-0463 | ITI | IT > Infrastructure | IT Operations & ITSM         | day_60 | medium   |   |
IT-0464 | ITI | IT > Infrastructure | DR & Business Continuity     | day_30 | high     |   |


# ── [ITD] IT > Data & Analytics — 4 items (IT-0465–IT-0468) ─────────────────

IT-0465 | ITD | IT > Data & Analytics | Data Architecture & Governance | day_30 | high   |   |
IT-0466 | ITD | IT > Data & Analytics | Data Architecture & Governance | day_60 | high   |   |
IT-0467 | ITD | IT > Data & Analytics | Analytics & BI                 | day_60 | medium |   |
IT-0468 | ITD | IT > Data & Analytics | Data Lifecycle Management      | day_60 | medium | X |


# ── [ITV] IT > IT Vendor Management — 4 items (IT-0479–IT-0482) ─────────────

IT-0479 | ITV | IT > IT Vendor Management | Vendor Governance & Risk  | day_30 | high   |   |
IT-0480 | ITV | IT > IT Vendor Management | Vendor Governance & Risk  | day_30 | high   |   |
IT-0481 | ITV | IT > IT Vendor Management | Contract Management       | day_60 | high   |   |
IT-0482 | ITV | IT > IT Vendor Management | Outsourcing & Managed Svc | day_60 | medium |   |


# ── [ITC] IT > Client-Facing & Digital — 3 items (IT-0483–IT-0485) ──────────

IT-0483 | ITC | IT > Client-Facing & Digital | Digital Products & Platforms | day_1  | high     |   |
IT-0484 | ITC | IT > Client-Facing & Digital | Product Engineering          | day_30 | high     |   |
IT-0485 | ITC | IT > Client-Facing & Digital | Client Data & Privacy        | day_30 | critical | X |


# ═══════════════════════════════════════════════════════════════════════════════
# SUSTAINABILITY — ESG
# ═══════════════════════════════════════════════════════════════════════════════

# ── [ESG] ESG — 22 items (ESG-0369–ESG-0390) ─────────────────────────────────
# (Full ESG items: sustainability reporting, environmental permits, social impact)


# ═══════════════════════════════════════════════════════════════════════════════
# CONDITIONAL TRACK — SEP  (active when dealStructure = carve_out)
# ═══════════════════════════════════════════════════════════════════════════════

# ── [SEP] Carve-Out / Separation — 7 items (SEP-0696–SEP-0702) ───────────────

SEP-0696 | SEP | Carve-Out / Separation | Separation Management    | day_1  | critical |   T |
SEP-0697 | SEP | Carve-Out / Separation | Separation Management    | day_1  | critical |   T |
SEP-0698 | SEP | Carve-Out / Separation | Separation Management    | day_30 | critical |     |
SEP-0699 | SEP | Carve-Out / Separation | Data Separation          | day_60 | critical | * T X |
SEP-0700 | SEP | Carve-Out / Separation | Data Separation          | day_60 | critical |   T |
SEP-0701 | SEP | Carve-Out / Separation | Legal Entity Separation  | day_30 | critical |   X |
SEP-0702 | SEP | Carve-Out / Separation | Stranded Cost Elimination| day_90 | high     |     |


# ─────────────────────────────────────────────────────────────────────────────
# SUMMARY — Revenue → Operational → People/Legal → Finance → Controls/IT
# ─────────────────────────────────────────────────────────────────────────────
# Revenue Track:      GTM  28  |  PRD  11                         = 39 items
# Operational Track:  SCO  12  |  CAP   8  |  FAC 13  |  IMO 35  = 68 items
# People & Legal:     HR   22  |  LGL  30  |  COM 11              = 63 items
# Finance Track:      TRS  39  |  OFN  70  |  FPA 33
#                     FRC  27  |  TCA  27  |  TAX 37  |  TSA 70   = 303 items
# Controls & Gov:     CTL  69  |  GRC  14                         = 83 items
# IT Track:           ITG  23  |  ITE   8  |  ITI  5
#                     ITD   4  |  ITV   4  |  ITC  3              = 47 items
# Sustainability:     ESG  22                                      = 22 items
# Conditional:        SEP   7                                      =  7 items
# ─────────────────────────────────────────────────────────────────────────────
# TOTAL: 632 items | Must-Haves (*): 60 | TSA-Shadow (T): 8 | Cross-Border (X): 89
#
# Note on Finance item IDs: All Finance workstream items use the FIN-xxxx prefix
# (sequential, cross-workstream). The canonical code column (TRS/OFN/FPA/FRC/TCA/TAX/TSA)
# is the authoritative workstream identifier for assignment and display purposes.
# Revenue, Ops, People, IT, Controls, and Separation workstreams each have their own
# dedicated prefix (GTM/PRD/SCO/CAP/FAC/INT/HR/LGL/COM/IT/CGV/ESG/SEP).
